Date and Time of initial call,Date and time of Ranger response,Borough,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
07/05/2019 06:03:00 PM,07/19/2019 04:00:00 PM,Brooklyn,Prospect Park,Lincoln Road Playground,American Robin,Public,Native,Healthy,0.25,Juvenile,Birds,311-00059441,Advised/Educated others,1,false,false,,,false,false,
07/18/2019 02:00:00 PM,07/18/2019 02:20:00 PM,Staten Island,Midland Beach,On beach near lot 6 fishing pier,Double-crested Cormorant,Employee,Native,Unhealthy,0.5,Adult,Birds,311-00162912,ACC,1,false,false,,,false,false,69510
07/18/2019 08:30:00 AM,07/18/2019 09:30:00 AM,Staten Island,Freshkills Park,closer to Wild Ave and E Service Rd entrance,Osprey,Other,Native,N/A,3,Juvenile,Raptors,,Relocated/Condition Corrected,1,false,false,,,false,false,
07/18/2019 09:00:00 AM,07/18/2019 09:30:00 AM,Queens,Forest Park,Next to Overlook Building,American Robin,Employee,Native,Healthy,0.25,Juvenile,Birds,311-00159834,Relocated/Condition Corrected,1,false,false,,,false,false,
07/17/2019 08:30:00 AM,07/17/2019 09:30:00 AM,Brooklyn,Commodore Barry Park,Commodore Barry Pool,Virginia Opossum,Employee,Native,N/A,0.25,Adult,Small Mammals-non RVS,,Unfounded,0,false,false,,,false,false,
07/16/2019 03:15:00 PM,07/16/2019 03:30:00 PM,Queens,Fort Totten Park,Pool,Raccoon,Employee,Native,Healthy,0.5,Juvenile,Small Mammals-RVS,311-00147184,Monitored Animal,1,true,true,,0.5,false,false,
07/16/2019 04:15:00 PM,07/16/2019 04:40:00 PM,Staten Island,LaTourette Park & Golf Course,Historic Richmondtown,Canada Goose,Other,Native,Unhealthy,0.75,Adult,Birds,,Unfounded,0,false,false,,,false,false,
07/16/2019 03:00:00 PM,07/16/2019 03:05:00 PM,Manhattan,Central Park,Chess & checkers house,Eastern Gray Squirrel,"Conservancies/""Friends of"" Groups",Native,DOA,0.5,Adult,Small Mammals-non RVS,311-00145199,Relocated/Condition Corrected,1,false,false,,,false,false,
07/16/2019 01:30:00 PM,07/16/2019 01:40:00 PM,Manhattan,Payson Playground,Garbage can by entrance,Raccoon,Employee,Native,Healthy,1,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
07/15/2019 12:30:00 PM,07/15/2019 12:45:00 PM,Queens,Queens borough Hall,120-55 Queens Boulevard,Red-tailed Hawk,Employee,Native,Injured,1,Juvenile,Raptors,311-00136399,Unfounded,0,false,false,,,false,false,
